loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
[31mWARNING: NO MODEL LOADED !!!
loading annotations into memory...
/home/deep/anaconda3/envs/e2ec/lib/python3.7/site-packages/torch/nn/functional.py:3385: UserWarning: Default grid_sample and affine_grid behavior has changed to align_corners=False since 1.3.0. Please specify align_corners=True if the old behavior is desired. See the documentation of grid_sample for details.
  warnings.warn("Default grid_sample and affine_grid behavior has changed "
/home/deep/1-POJECT/e2ec/e2ec/network/evolve/utils.py:5: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:25.)
  poly = torch.cat([poly[i][ct_01[i]] for i in range(batch_size)], dim=0)
Done (t=0.14s)
creating index...
index created!
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
eta: 0:05:07  epoch: 0  step: 20  ct_loss: 4.5665  init_py_loss: 8.6391  coarse_py_loss: 6.1242  py_loss_0: 6.1099  py_loss_1: 6.1004  loss: 10.1130  data: 0.0495  batch: 1.3424  lr: 0.000100  max_mem: 5970
eta: 0:02:57  epoch: 2  step: 618  ct_loss: 0.6662  init_py_loss: 2.2824  coarse_py_loss: 1.6713  py_loss_0: 1.4806  py_loss_1: 1.4661  loss: 2.0438  data: 0.0014  batch: 1.4060  lr: 0.000100  max_mem: 6034
eta: 0:02:30  epoch: 2  step: 638  ct_loss: 0.7400  init_py_loss: 2.2896  coarse_py_loss: 1.6868  py_loss_0: 1.4882  py_loss_1: 1.4751  loss: 2.1254  data: 0.0016  batch: 1.4081  lr: 0.000100  max_mem: 6034
eta: 0:02:02  epoch: 2  step: 658  ct_loss: 0.7099  init_py_loss: 2.2408  coarse_py_loss: 1.6565  py_loss_0: 1.4690  py_loss_1: 1.4512  loss: 2.0730  data: 0.0014  batch: 1.4020  lr: 0.000100  max_mem: 6034
eta: 0:01:35  epoch: 2  step: 678  ct_loss: 0.6992  init_py_loss: 2.2434  coarse_py_loss: 1.6063  py_loss_0: 1.4372  py_loss_1: 1.4302  loss: 2.0400  data: 0.0014  batch: 1.4150  lr: 0.000100  max_mem: 6034
eta: 0:01:07  epoch: 2  step: 698  ct_loss: 0.7252  init_py_loss: 2.2669  coarse_py_loss: 1.6920  py_loss_0: 1.4990  py_loss_1: 1.4827  loss: 2.1150  data: 0.0014  batch: 1.3944  lr: 0.000100  max_mem: 6034
eta: 0:00:39  epoch: 2  step: 718  ct_loss: 0.7055  init_py_loss: 2.3842  coarse_py_loss: 1.7322  py_loss_0: 1.5450  py_loss_1: 1.5308  loss: 2.1424  data: 0.0014  batch: 1.3798  lr: 0.000100  max_mem: 6034
eta: 0:00:12  epoch: 2  step: 738  ct_loss: 0.6782  init_py_loss: 2.1991  coarse_py_loss: 1.6416  py_loss_0: 1.4741  py_loss_1: 1.4658  loss: 2.0422  data: 0.0014  batch: 1.4074  lr: 0.000100  max_mem: 6034
eta: 0:00:01  epoch: 2  step: 746  ct_loss: 0.6770  init_py_loss: 2.2408  coarse_py_loss: 1.6558  py_loss_0: 1.4808  py_loss_1: 1.4738  loss: 2.0515  data: 0.0015  batch: 1.3975  lr: 0.000100  max_mem: 6034
eta: 0:05:16  epoch: 3  step: 767  ct_loss: 0.6892  init_py_loss: 2.3503  coarse_py_loss: 1.7360  py_loss_0: 1.5684  py_loss_1: 1.5596  loss: 2.1405  data: 0.0400  batch: 1.4361  lr: 0.000100  max_mem: 6034
eta: 0:04:48  epoch: 3  step: 787  ct_loss: 0.6723  init_py_loss: 2.0202  coarse_py_loss: 1.4469  py_loss_0: 1.2726  py_loss_1: 1.2581  loss: 1.8626  data: 0.0014  batch: 1.3967  lr: 0.000100  max_mem: 6034
eta: 0:04:21  epoch: 3  step: 807  ct_loss: 0.6850  init_py_loss: 2.0821  coarse_py_loss: 1.5685  py_loss_0: 1.3951  py_loss_1: 1.3808  loss: 1.9754  data: 0.0015  batch: 1.4103  lr: 0.000100  max_mem: 6034
eta: 0:03:53  epoch: 3  step: 827  ct_loss: 0.6682  init_py_loss: 2.0686  coarse_py_loss: 1.5184  py_loss_0: 1.3536  py_loss_1: 1.3424  loss: 1.9256  data: 0.0015  batch: 1.3938  lr: 0.000100  max_mem: 6034
eta: 0:03:26  epoch: 3  step: 847  ct_loss: 0.6916  init_py_loss: 2.2377  coarse_py_loss: 1.7010  py_loss_0: 1.5414  py_loss_1: 1.5301  loss: 2.1093  data: 0.0014  batch: 1.3859  lr: 0.000100  max_mem: 6034
eta: 0:02:58  epoch: 3  step: 867  ct_loss: 0.7514  init_py_loss: 2.2216  coarse_py_loss: 1.6542  py_loss_0: 1.5082  py_loss_1: 1.4964  loss: 2.1405  data: 0.0014  batch: 1.3940  lr: 0.000100  max_mem: 6034
eta: 0:02:30  epoch: 3  step: 887  ct_loss: 0.6792  init_py_loss: 2.0472  coarse_py_loss: 1.5201  py_loss_0: 1.3630  py_loss_1: 1.3502  loss: 1.9403  data: 0.0016  batch: 1.4057  lr: 0.000100  max_mem: 6034
eta: 0:02:03  epoch: 3  step: 907  ct_loss: 0.6389  init_py_loss: 1.8523  coarse_py_loss: 1.3961  py_loss_0: 1.2362  py_loss_1: 1.2256  loss: 1.7843  data: 0.0015  batch: 1.3991  lr: 0.000100  max_mem: 6034
eta: 0:01:35  epoch: 3  step: 927  ct_loss: 0.6398  init_py_loss: 1.8874  coarse_py_loss: 1.3885  py_loss_0: 1.2293  py_loss_1: 1.2196  loss: 1.7837  data: 0.0014  batch: 1.3968  lr: 0.000100  max_mem: 6034
eta: 0:01:07  epoch: 3  step: 947  ct_loss: 0.6332  init_py_loss: 1.6873  coarse_py_loss: 1.3180  py_loss_0: 1.2017  py_loss_1: 1.1940  loss: 1.7323  data: 0.0014  batch: 1.3962  lr: 0.000100  max_mem: 6034
eta: 0:00:40  epoch: 3  step: 967  ct_loss: 0.6586  init_py_loss: 1.7618  coarse_py_loss: 1.3294  py_loss_0: 1.1989  py_loss_1: 1.1884  loss: 1.7635  data: 0.0015  batch: 1.3866  lr: 0.000100  max_mem: 6034
eta: 0:00:12  epoch: 3  step: 987  ct_loss: 0.7009  init_py_loss: 1.8431  coarse_py_loss: 1.3838  py_loss_0: 1.2504  py_loss_1: 1.2438  loss: 1.8550  data: 0.0014  batch: 1.4050  lr: 0.000100  max_mem: 6044
eta: 0:00:01  epoch: 3  step: 995  ct_loss: 0.6831  init_py_loss: 1.8474  coarse_py_loss: 1.3959  py_loss_0: 1.2594  py_loss_1: 1.2494  loss: 1.8437  data: 0.0015  batch: 1.3983  lr: 0.000100  max_mem: 6044
eta: 0:05:17  epoch: 4  step: 1016  ct_loss: 0.7048  init_py_loss: 1.8623  coarse_py_loss: 1.4123  py_loss_0: 1.2857  py_loss_1: 1.2759  loss: 1.8861  data: 0.0392  batch: 1.4187  lr: 0.000100  max_mem: 6044
eta: 0:04:49  epoch: 4  step: 1036  ct_loss: 0.6418  init_py_loss: 2.1341  coarse_py_loss: 1.5621  py_loss_0: 1.4359  py_loss_1: 1.4226  loss: 1.9643  data: 0.0016  batch: 1.3944  lr: 0.000100  max_mem: 6044
eta: 0:04:21  epoch: 4  step: 1056  ct_loss: 0.6440  init_py_loss: 2.0860  coarse_py_loss: 1.5541  py_loss_0: 1.4122  py_loss_1: 1.4065  loss: 1.9476  data: 0.0016  batch: 1.3843  lr: 0.000100  max_mem: 6044
eta: 0:03:54  epoch: 4  step: 1076  ct_loss: 0.6448  init_py_loss: 1.7105  coarse_py_loss: 1.3421  py_loss_0: 1.2095  py_loss_1: 1.2029  loss: 1.7542  data: 0.0015  batch: 1.3914  lr: 0.000100  max_mem: 6044
eta: 0:03:26  epoch: 4  step: 1096  ct_loss: 0.6538  init_py_loss: 1.7863  coarse_py_loss: 1.3591  py_loss_0: 1.2327  py_loss_1: 1.2264  loss: 1.7881  data: 0.0015  batch: 1.4046  lr: 0.000100  max_mem: 6044
eta: 0:02:58  epoch: 4  step: 1116  ct_loss: 0.6210  init_py_loss: 1.8039  coarse_py_loss: 1.3868  py_loss_0: 1.2734  py_loss_1: 1.2676  loss: 1.7871  data: 0.0014  batch: 1.3954  lr: 0.000100  max_mem: 6044
eta: 0:02:31  epoch: 4  step: 1136  ct_loss: 0.6350  init_py_loss: 1.6533  coarse_py_loss: 1.2951  py_loss_0: 1.1719  py_loss_1: 1.1663  loss: 1.7092  data: 0.0014  batch: 1.4039  lr: 0.000100  max_mem: 6044
eta: 0:02:03  epoch: 4  step: 1156  ct_loss: 0.6594  init_py_loss: 1.6849  coarse_py_loss: 1.2925  py_loss_0: 1.1686  py_loss_1: 1.1590  loss: 1.7330  data: 0.0015  batch: 1.3976  lr: 0.000100  max_mem: 6044
eta: 0:01:35  epoch: 4  step: 1176  ct_loss: 0.6511  init_py_loss: 1.9268  coarse_py_loss: 1.4796  py_loss_0: 1.3595  py_loss_1: 1.3492  loss: 1.8947  data: 0.0015  batch: 1.3862  lr: 0.000100  max_mem: 6044
eta: 0:01:07  epoch: 4  step: 1196  ct_loss: 0.6303  init_py_loss: 1.8375  coarse_py_loss: 1.4112  py_loss_0: 1.2975  py_loss_1: 1.2971  loss: 1.8200  data: 0.0014  batch: 1.3909  lr: 0.000100  max_mem: 6044
eta: 0:00:40  epoch: 4  step: 1216  ct_loss: 0.6471  init_py_loss: 1.6982  coarse_py_loss: 1.3044  py_loss_0: 1.1736  py_loss_1: 1.1651  loss: 1.7269  data: 0.0016  batch: 1.3967  lr: 0.000100  max_mem: 6044
eta: 0:00:12  epoch: 4  step: 1236  ct_loss: 0.6409  init_py_loss: 1.7571  coarse_py_loss: 1.3514  py_loss_0: 1.2390  py_loss_1: 1.2315  loss: 1.7752  data: 0.0015  batch: 1.3752  lr: 0.000100  max_mem: 6044
eta: 0:00:01  epoch: 4  step: 1244  ct_loss: 0.6426  init_py_loss: 1.7665  coarse_py_loss: 1.3622  py_loss_0: 1.2530  py_loss_1: 1.2433  loss: 1.7876  data: 0.0016  batch: 1.3795  lr: 0.000100  max_mem: 6044
eta: 0:05:17  epoch: 5  step: 1265  ct_loss: 0.6579  init_py_loss: 1.6888  coarse_py_loss: 1.2999  py_loss_0: 1.1877  py_loss_1: 1.1812  loss: 1.7464  data: 0.0403  batch: 1.4149  lr: 0.000100  max_mem: 6044
eta: 0:04:49  epoch: 5  step: 1285  ct_loss: 0.6225  init_py_loss: 1.7058  coarse_py_loss: 1.3031  py_loss_0: 1.1932  py_loss_1: 1.1858  loss: 1.7164  data: 0.0015  batch: 1.3876  lr: 0.000100  max_mem: 6044
eta: 0:04:22  epoch: 5  step: 1305  ct_loss: 0.6441  init_py_loss: 1.7428  coarse_py_loss: 1.3104  py_loss_0: 1.1961  py_loss_1: 1.1897  loss: 1.7447  data: 0.0015  batch: 1.3904  lr: 0.000100  max_mem: 6044
eta: 0:03:54  epoch: 5  step: 1325  ct_loss: 0.6104  init_py_loss: 1.6558  coarse_py_loss: 1.2454  py_loss_0: 1.1303  py_loss_1: 1.1238  loss: 1.6518  data: 0.0015  batch: 1.3922  lr: 0.000100  max_mem: 6044
eta: 0:03:26  epoch: 5  step: 1345  ct_loss: 0.5906  init_py_loss: 1.5203  coarse_py_loss: 1.1794  py_loss_0: 1.0894  py_loss_1: 1.0854  loss: 1.5854  data: 0.0015  batch: 1.4074  lr: 0.000100  max_mem: 6044
eta: 0:02:59  epoch: 5  step: 1365  ct_loss: 0.6394  init_py_loss: 1.7180  coarse_py_loss: 1.3029  py_loss_0: 1.2000  py_loss_1: 1.1952  loss: 1.7399  data: 0.0015  batch: 1.4002  lr: 0.000100  max_mem: 6044
eta: 0:02:31  epoch: 5  step: 1385  ct_loss: 0.6394  init_py_loss: 1.6507  coarse_py_loss: 1.2928  py_loss_0: 1.1921  py_loss_1: 1.1863  loss: 1.7265  data: 0.0014  batch: 1.3968  lr: 0.000100  max_mem: 6044
eta: 0:02:03  epoch: 5  step: 1405  ct_loss: 0.6268  init_py_loss: 1.6181  coarse_py_loss: 1.2757  py_loss_0: 1.1653  py_loss_1: 1.1577  loss: 1.6905  data: 0.0014  batch: 1.3963  lr: 0.000100  max_mem: 6044
eta: 0:01:35  epoch: 5  step: 1425  ct_loss: 0.6216  init_py_loss: 1.5928  coarse_py_loss: 1.2498  py_loss_0: 1.1535  py_loss_1: 1.1477  loss: 1.6730  data: 0.0014  batch: 1.4095  lr: 0.000100  max_mem: 6044
eta: 0:01:08  epoch: 5  step: 1445  ct_loss: 0.6138  init_py_loss: 1.6967  coarse_py_loss: 1.3045  py_loss_0: 1.1971  py_loss_1: 1.1878  loss: 1.7089  data: 0.0016  batch: 1.3925  lr: 0.000100  max_mem: 6044
eta: 0:00:40  epoch: 5  step: 1465  ct_loss: 0.6086  init_py_loss: 1.6757  coarse_py_loss: 1.2551  py_loss_0: 1.1495  py_loss_1: 1.1447  loss: 1.6665  data: 0.0015  batch: 1.4086  lr: 0.000100  max_mem: 6044
eta: 0:00:12  epoch: 5  step: 1485  ct_loss: 0.6061  init_py_loss: 1.5371  coarse_py_loss: 1.2025  py_loss_0: 1.1076  py_loss_1: 1.1021  loss: 1.6166  data: 0.0015  batch: 1.4088  lr: 0.000100  max_mem: 6044
eta: 0:00:01  epoch: 5  step: 1493  ct_loss: 0.5762  init_py_loss: 1.5332  coarse_py_loss: 1.1999  py_loss_0: 1.1167  py_loss_1: 1.1109  loss: 1.5921  data: 0.0015  batch: 1.3950  lr: 0.000100  max_mem: 6044
eta: 0:05:18  epoch: 6  step: 1514  ct_loss: 0.6188  init_py_loss: 1.5349  coarse_py_loss: 1.1698  py_loss_0: 1.0736  py_loss_1: 1.0666  loss: 1.6027  data: 0.0382  batch: 1.4442  lr: 0.000100  max_mem: 6044
eta: 0:04:50  epoch: 6  step: 1534  ct_loss: 0.5707  init_py_loss: 1.7501  coarse_py_loss: 1.3577  py_loss_0: 1.2519  py_loss_1: 1.2434  loss: 1.7133  data: 0.0014  batch: 1.4082  lr: 0.000100  max_mem: 6044
eta: 0:04:22  epoch: 6  step: 1554  ct_loss: 0.6261  init_py_loss: 1.7109  coarse_py_loss: 1.3200  py_loss_0: 1.2219  py_loss_1: 1.2182  loss: 1.7425  data: 0.0015  batch: 1.3818  lr: 0.000100  max_mem: 6044
eta: 0:03:54  epoch: 6  step: 1574  ct_loss: 0.5950  init_py_loss: 1.5856  coarse_py_loss: 1.2356  py_loss_0: 1.1336  py_loss_1: 1.1274  loss: 1.6308  data: 0.0015  batch: 1.3929  lr: 0.000100  max_mem: 6044
eta: 0:03:27  epoch: 6  step: 1594  ct_loss: 0.5910  init_py_loss: 1.5800  coarse_py_loss: 1.2479  py_loss_0: 1.1512  py_loss_1: 1.1460  loss: 1.6395  data: 0.0014  batch: 1.3791  lr: 0.000100  max_mem: 6044
eta: 0:02:59  epoch: 6  step: 1614  ct_loss: 0.5876  init_py_loss: 1.4627  coarse_py_loss: 1.1104  py_loss_0: 1.0210  py_loss_1: 1.0165  loss: 1.5241  data: 0.0016  batch: 1.4097  lr: 0.000100  max_mem: 6044
eta: 0:02:31  epoch: 6  step: 1634  ct_loss: 0.5946  init_py_loss: 1.5304  coarse_py_loss: 1.1704  py_loss_0: 1.0800  py_loss_1: 1.0757  loss: 1.5833  data: 0.0014  batch: 1.4067  lr: 0.000100  max_mem: 6044
eta: 0:02:03  epoch: 6  step: 1654  ct_loss: 0.6209  init_py_loss: 1.6384  coarse_py_loss: 1.3065  py_loss_0: 1.2190  py_loss_1: 1.2120  loss: 1.7257  data: 0.0014  batch: 1.3973  lr: 0.000100  max_mem: 6044
eta: 0:01:35  epoch: 6  step: 1674  ct_loss: 0.6586  init_py_loss: 1.5971  coarse_py_loss: 1.1822  py_loss_0: 1.0795  py_loss_1: 1.0733  loss: 1.6541  data: 0.0015  batch: 1.3831  lr: 0.000100  max_mem: 6044
eta: 0:01:08  epoch: 6  step: 1694  ct_loss: 0.6411  init_py_loss: 1.6582  coarse_py_loss: 1.2605  py_loss_0: 1.1546  py_loss_1: 1.1479  loss: 1.7005  data: 0.0014  batch: 1.4036  lr: 0.000100  max_mem: 6044
eta: 0:00:40  epoch: 6  step: 1714  ct_loss: 0.6066  init_py_loss: 1.6423  coarse_py_loss: 1.2374  py_loss_0: 1.1223  py_loss_1: 1.1158  loss: 1.6407  data: 0.0015  batch: 1.3930  lr: 0.000100  max_mem: 6044
eta: 0:00:12  epoch: 6  step: 1734  ct_loss: 0.6021  init_py_loss: 1.4316  coarse_py_loss: 1.1390  py_loss_0: 1.0459  py_loss_1: 1.0412  loss: 1.5549  data: 0.0015  batch: 1.3930  lr: 0.000100  max_mem: 6044
eta: 0:00:01  epoch: 6  step: 1742  ct_loss: 0.5885  init_py_loss: 1.4511  coarse_py_loss: 1.1499  py_loss_0: 1.0634  py_loss_1: 1.0588  loss: 1.5559  data: 0.0014  batch: 1.4052  lr: 0.000100  max_mem: 6044
eta: 0:05:18  epoch: 7  step: 1763  ct_loss: 0.5848  init_py_loss: 1.5533  coarse_py_loss: 1.2557  py_loss_0: 1.1787  py_loss_1: 1.1782  loss: 1.6513  data: 0.0402  batch: 1.4148  lr: 0.000100  max_mem: 6044
eta: 0:04:50  epoch: 7  step: 1783  ct_loss: 0.5917  init_py_loss: 1.4876  coarse_py_loss: 1.1770  py_loss_0: 1.0908  py_loss_1: 1.0858  loss: 1.5836  data: 0.0014  batch: 1.4056  lr: 0.000100  max_mem: 6046
eta: 0:04:22  epoch: 7  step: 1803  ct_loss: 0.6063  init_py_loss: 1.4286  coarse_py_loss: 1.1215  py_loss_0: 1.0270  py_loss_1: 1.0201  loss: 1.5437  data: 0.0014  batch: 1.3832  lr: 0.000100  max_mem: 6046
eta: 0:03:55  epoch: 7  step: 1823  ct_loss: 0.5871  init_py_loss: 1.5384  coarse_py_loss: 1.1949  py_loss_0: 1.1054  py_loss_1: 1.0992  loss: 1.5953  data: 0.0015  batch: 1.4197  lr: 0.000100  max_mem: 6046
eta: 0:03:27  epoch: 7  step: 1843  ct_loss: 0.5912  init_py_loss: 1.5439  coarse_py_loss: 1.1876  py_loss_0: 1.0855  py_loss_1: 1.0794  loss: 1.5860  data: 0.0014  batch: 1.4045  lr: 0.000100  max_mem: 6046
eta: 0:02:59  epoch: 7  step: 1863  ct_loss: 0.6043  init_py_loss: 1.4875  coarse_py_loss: 1.1658  py_loss_0: 1.0692  py_loss_1: 1.0667  loss: 1.5816  data: 0.0014  batch: 1.4090  lr: 0.000100  max_mem: 6046
eta: 0:02:31  epoch: 7  step: 1883  ct_loss: 0.6191  init_py_loss: 1.6371  coarse_py_loss: 1.2728  py_loss_0: 1.1743  py_loss_1: 1.1668  loss: 1.6904  data: 0.0015  batch: 1.3930  lr: 0.000100  max_mem: 6046
